Time: 1011.62, Detected Patient: 3559, DetectionCount: 1
Time: 1011.80, Detected Patient: 3662, DetectionCount: 1
Time: 1015.33, Detected Patient: 3507, DetectionCount: 1
Time: 1031.83, Detected Patient: 3687, DetectionCount: 1
Time: 1035.16, Detected Patient: 3659, DetectionCount: 1
Time: 1043.43, Detected Patient: 3771, DetectionCount: 1
Time: 1048.29, Detected Patient: 3790, DetectionCount: 1
Time: 1051.89, Detected Patient: 3791, DetectionCount: 1
Time: 1055.60, Detected Patient: 3762, DetectionCount: 1
Time: 1062.85, Detected Patient: 3688, DetectionCount: 1
Time: 1067.75, Detected Patient: 3846, DetectionCount: 1
Time: 1068.93, Detected Patient: 3838, DetectionCount: 1
Time: 1070.17, Detected Patient: 3776, DetectionCount: 1
Time: 1076.27, Detected Patient: 3853, DetectionCount: 1
Time: 1076.83, Detected Patient: 3816, DetectionCount: 1
Time: 1077.49, Detected Patient: 3864, DetectionCount: 1
Time: 1077.91, Detected Patient: 3899, DetectionCount: 1
Time: 1082.05, Detected Patient: 3921, DetectionCount: 1
Time: 1085.57, Detected Patient: 3904, DetectionCount: 1
Time: 1090.33, Detected Patient: 3885, DetectionCount: 1
Time: 1092.89, Detected Patient: 3969, DetectionCount: 1
Time: 1094.99, Detected Patient: 3924, DetectionCount: 1
Time: 1100.80, Detected Patient: 3923, DetectionCount: 1
Time: 1107.93, Detected Patient: 4023, DetectionCount: 1
Time: 1109.43, Detected Patient: 3870, DetectionCount: 1
Time: 1119.06, Detected Patient: 3995, DetectionCount: 1
Time: 1121.71, Detected Patient: 4072, DetectionCount: 1
Time: 1123.72, Detected Patient: 4055, DetectionCount: 1
Time: 1124.79, Detected Patient: 4077, DetectionCount: 1
Time: 1125.57, Detected Patient: 4076, DetectionCount: 1
Time: 1128.98, Detected Patient: 4088, DetectionCount: 1
Time: 1131.01, Detected Patient: 4051, DetectionCount: 1
Time: 1131.42, Detected Patient: 3980, DetectionCount: 1
Time: 1138.81, Detected Patient: 4009, DetectionCount: 1
Time: 1140.42, Detected Patient: 4002, DetectionCount: 1
Time: 1141.33, Detected Patient: 4127, DetectionCount: 1
Time: 1149.15, Detected Patient: 4176, DetectionCount: 1
Time: 1150.62, Detected Patient: 4133, DetectionCount: 1
Time: 1151.30, Detected Patient: 4114, DetectionCount: 1
Time: 1153.25, Detected Patient: 4092, DetectionCount: 1
Time: 1160.32, Detected Patient: 4109, DetectionCount: 1
Time: 1160.96, Detected Patient: 4213, DetectionCount: 1
Time: 1162.83, Detected Patient: 4188, DetectionCount: 1
Time: 1166.00, Detected Patient: 4184, DetectionCount: 1
Time: 1166.21, Detected Patient: 4113, DetectionCount: 1
Time: 1169.86, Detected Patient: 4134, DetectionCount: 1
Time: 1170.19, Detected Patient: 4208, DetectionCount: 1
Time: 1172.35, Detected Patient: 4229, DetectionCount: 1
Time: 1173.05, Detected Patient: 4194, DetectionCount: 1
Time: 1175.51, Detected Patient: 4252, DetectionCount: 1
Time: 1176.75, Detected Patient: 4164, DetectionCount: 1
Time: 1178.33, Detected Patient: 4220, DetectionCount: 1
Time: 1180.50, Detected Patient: 4115, DetectionCount: 1
Time: 1180.69, Detected Patient: 4257, DetectionCount: 1
Time: 1187.67, Detected Patient: 4241, DetectionCount: 1
Time: 1187.92, Detected Patient: 4189, DetectionCount: 1
Time: 1188.82, Detected Patient: 4266, DetectionCount: 1
Time: 1194.45, Detected Patient: 4300, DetectionCount: 1
Time: 1194.71, Detected Patient: 4290, DetectionCount: 1
Time: 1197.63, Detected Patient: 4291, DetectionCount: 1
Time: 1198.02, Detected Patient: 4282, DetectionCount: 1
Time: 1204.34, Detected Patient: 4324, DetectionCount: 1
