"run","DoActiveSurveillance","IsolationEffectiveness","DaysBetweenTests","tick","ClinicalDetections","MeanDailyPrevalence","MeanDischargePrevalence","ImportationPrevalence","NumberOfTransmissions"
396,"false",0.5,7.0,5474.0,3608,0.9757668778679357,0.9830713422007256,0.21396123561477892,36866
2,"false",0.5,7.0,5474.0,781,0.20846932535601304,0.21686376900629703,0.20329078886667692,1610
20,"false",0.5,7.0,5474.0,2946,0.8751915736857078,0.8757332510033962,0.21801166001841055,32096
38,"false",0.5,7.0,5474.0,3336,0.9491411120296879,0.9527522935779816,0.209842579856335,34830
56,"false",0.5,7.0,5474.0,3529,0.961909995350327,0.9655540313976528,0.2071962189358134,36160
74,"false",0.5,7.0,5474.0,3490,0.9704451854907533,0.9785180572851806,0.2101652634861241,36480
92,"false",0.5,7.0,5474.0,3534,0.9728455318925439,0.980817217716781,0.20441383628110815,37312
110,"false",0.5,7.0,5474.0,1851,0.5776053760480468,0.577115987460815,0.20648597838007207,18656
128,"false",0.5,7.0,5474.0,3111,0.9173954681592827,0.9273335360291882,0.205248786407767,34494
146,"false",0.5,7.0,5474.0,3374,0.9529647710616703,0.9597701149425287,0.20608861970035067,34830
164,"false",0.5,7.0,5474.0,3478,0.9685180645393333,0.9723968716454532,0.20242108489120442,36398
182,"false",0.5,7.0,5474.0,3522,0.973370732228906,0.9767952336155534,0.20770073563938019,36482
200,"false",0.5,7.0,5474.0,3506,0.9806671432472566,0.9829502207337494,0.20357907617008258,36806
218,"false",0.5,7.0,5474.0,2642,0.8184586167858438,0.8043308926624084,0.20077760497667185,29850
236,"false",0.5,7.0,5474.0,3220,0.9346252096064658,0.937605915883531,0.2073490813648294,34664
